0 0.000004 0.000001
1 0.000006 0.000000
2 0.000008 0.000000
3 0.000040 0.000001
4 0.000053 0.000001
5 0.000021 0.000002
6 0.000025 0.000001
7 0.000028 0.000001
8 0.000032 0.000000
9 0.000031 0.000001
10 0.000033 0.000001
11 0.000036 0.000001
12 0.000039 0.000002
13 0.000045 0.000003
14 0.000045 0.000003
15 0.000049 0.000005
16 0.000052 0.000008
17 0.000067 0.000013
18 0.000058 0.000021
19 0.000062 0.000033
20 0.000064 0.000054
21 0.000068 0.000087
22 0.000071 0.000141
23 0.000075 0.000238
24 0.000086 0.000370
25 0.000095 0.000639
26 0.000095 0.000972
27 0.000098 0.001602
28 0.000102 0.002805
29 0.000149 0.004783
